Gss year for this respondent                       ,Respondent id number,Number of hours worked last week,Marital status,Number of children,Age of respondent,Highest year of school completed,General happiness,Happiness of marriage,Condition of health,Is life exciting or dull,Spend evening with relatives,Spend evening with friends,Spend evening at bar,Job or housework,Subjective class identification,Satisfaction with financial situation,Sex before marriage,Suicide if bankrupt,Have gun in home,Hours per day watching tv,Family income in constant $
2004,43,Not applicable,Married,1,24,12,Pretty happy,Pretty happy,Good,Exciting,Sev times a week,Once a month,Never,A little dissat,Working class,Not at all sat,Sometimes wrong,No,No,12,11321
2004,44,40,Married,Eight or more,61,15,Pretty happy,Pretty happy,Excellent,Exciting,Almost daily,Sev times a week,Never,Very satisfied,Middle class,More or less,Almst always wrg,No,No,2,49814
2004,58,Not applicable,Married,3,31,16,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Once a year,Very satisfied,Middle class,Satisfied,Always wrong,No,No,0,49814
2004,73,30,Married,2,53,18,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a month,Never,Mod. satisfied,Middle class,Satisfied,Sometimes wrong,Yes,No,2,60380
2004,97,40,Married,2,55,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Once a month,Sev times a week,Very satisfied,Working class,Not at all sat,Not wrong at all,No,No,1,22643
2004,102,38,Married,1,33,19,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Refused,2,60380
2004,109,55,Married,0,35,12,Very happy,Very happy,Excellent,Exciting,Almost daily,Once a month,Once a month,Very satisfied,Working class,Satisfied,Not wrong at all,No,No,2,49814
2004,118,68,Married,5,49,14,Very happy,Very happy,Good,Exciting,Almost daily,Once a month,Once a month,Very satisfied,Working class,Satisfied,Sometimes wrong,No,No,0,33209
2004,147,55,Married,2,61,19,Very happy,Very happy,Excellent,Exciting,Once a month,Sev times a year,Sev times a mnth,Very satisfied,Upper class,Satisfied,Not wrong at all,No,No,1,128435
2004,154,Not applicable,Married,1,31,18,Very happy,Very happy,Good,Routine,Sev times a year,Sev times a mnth,Once a month,Not applicable,Middle class,More or less,Not wrong at all,Yes,No,3,60380
2004,165,38,Married,3,29,13,Pretty happy,Pretty happy,Good,Exciting,Sev times a mnth,Once a month,Never,Very satisfied,Middle class,Not at all sat,Sometimes wrong,No,No,1,40757
2004,208,50,Married,5,36,12,Very happy,Pretty happy,Excellent,Routine,Sev times a week,Never,Never,Very satisfied,Middle class,Satisfied,Sometimes wrong,No,No,0,33209
2004,217,40,Married,0,38,11,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a year,Sev times a year,Very satisfied,Lower class,Not at all sat,Not wrong at all,No,No,4,16605
2004,236,40,Married,0,37,14,Pretty happy,Very happy,Excellent,Exciting,Once a month,Sev times a mnth,Once a month,Mod. satisfied,Working class,More or less,Not wrong at all,Yes,No,1,40757
2004,242,60,Married,1,48,14,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Sev times a year,Very satisfied,Working class,Satisfied,Not wrong at all,No,No,1,40757
2004,251,Not applicable,Married,1,39,12,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a year,Never,Very dissatisfied,Middle class,More or less,Always wrong,No,Yes,5,60380
2004,274,40,Married,1,25,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Sev times a mnth,Never,Mod. satisfied,Working class,More or less,Sometimes wrong,No,No,3,33209
2004,291,Not applicable,Married,4,76,12,Pretty happy,Pretty happy,Fair,Routine,Once a month,Sev times a mnth,Never,Mod. satisfied,Upper class,More or less,Always wrong,No,No,8,27171
2004,307,Not applicable,Married,Dk na,53,15,Pretty happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Once a year,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,No,4,128435
2004,312,40,Married,2,62,11,Pretty happy,Pretty happy,Fair,Routine,Almost daily,Sev times a mnth,Sev times a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,2,128435
2004,315,30,Married,1,36,20,Pretty happy,Very happy,Excellent,Routine,Sev times a mnth,Sev times a year,Once a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,1,60380
2004,327,Not applicable,Married,3,36,12,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Once a year,Very satisfied,Working class,Satisfied,Always wrong,No,No,3,12831
2004,338,Not applicable,Married,0,74,16,Pretty happy,Pretty happy,Fair,Routine,Sev times a mnth,Sev times a year,Never,Not applicable,Working class,More or less,Sometimes wrong,Yes,Yes,4,33209
2004,348,22,Married,2,35,13,Very happy,Very happy,Excellent,Routine,Once a month,Once a month,Sev times a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,2,40757
2004,364,80,Married,0,30,16,Pretty happy,Pretty happy,Excellent,Routine,Sev times a year,Once a month,Once a month,Mod. satisfied,Working class,Not at all sat,Sometimes wrong,No,No,1,40757
2004,376,50,Married,2,53,13,Pretty happy,Pretty happy,Excellent,Exciting,Once a month,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,2,128435
2004,398,40,Married,1,55,14,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Once a month,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,1,128435
2004,421,Not applicable,Married,2,36,16,Pretty happy,Very happy,Good,Exciting,Once a year,Once a year,Never,Don't know,Working class,Satisfied,Almst always wrg,No,No,2,49814
2004,439,Not applicable,Married,3,34,12,Pretty happy,Very happy,Fair,Routine,Once a month,Sev times a year,Once a year,Very satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,60380
2004,440,50,Married,3,50,20,Very happy,Very happy,Good,Routine,Once a month,Sev times a year,Once a year,Mod. satisfied,Middle class,More or less,Sometimes wrong,No,Yes,2,128435
2004,481,42,Married,0,61,14,Pretty happy,Pretty happy,Good,Exciting,Once a month,Once a month,Sev times a year,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,1,128435
2004,505,40,Married,1,43,14,Not too happy,Not too happy,Fair,Exciting,Once a month,Once a year,Sev times a year,Very satisfied,Working class,Not at all sat,Not wrong at all,No,No,2,22643
