Number of hours worked last week,Marital status,Highest year of school completed,Respondents income,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
40,Married,12,$25000 or more,Excellent,No,2,7,Libra
25,Married,13,$25000 or more,Excellent,No,5,4,Gemini
40,Never married,16,$25000 or more,Good,No,3,3,Gemini
60,Widowed,15,$25000 or more,Excellent,No,3,6,Taurus
40,Married,16,$25000 or more,Good,No,2,15,Gemini
24,Never married,13,$20000 - 24999,Fair,No,2,3,Virgo
40,Never married,16,$25000 or more,Good,No,2,2,Scorpio
50,Divorced,14,$25000 or more,Good,No,2,7,Sagittarius
50,Divorced,16,$25000 or more,Excellent,No,1,2,Leo
68,Married,12,$25000 or more,Good,Yes,3,6,Pisces
40,Never married,18,$25000 or more,Excellent,No,1,12,Virgo
52,Never married,16,$25000 or more,Good,No,4,20,Aries
40,Married,12,$25000 or more,Good,No,3,20,Libra
41,Married,16,$25000 or more,Fair,No,2,2,Virgo
38,Married,16,$25000 or more,Good,No,2,15,Aquarius
50,Never married,13,$25000 or more,Fair,No,3,12,Scorpio
7,Separated,20,$6000 to 6999,Excellent,No,3,3,Libra
60,Married,16,$25000 or more,Excellent,No,3,30,Cancer
40,Married,18,$25000 or more,Excellent,No,0,20,Libra
12,Married,12,$3000 to 3999,Good,No,2,3,Gemini
24,Married,12,Lt $1000,Excellent,Yes,1,6-11.9 months,Cancer
45,Married,16,$25000 or more,Good,No,0,3,Taurus
25,Married,20,$25000 or more,Fair,No,2,3,Aries
62,Married,13,$25000 or more,Good,No,2,6-11.9 months,Libra
40,Married,6,$25000 or more,Good,No,2,17,Capricorn
47,Never married,16,$25000 or more,Fair,No,3,4,Pisces
50,Married,17,$25000 or more,Good,No,1,6-11.9 months,Sagittarius
45,Never married,19,$25000 or more,Good,No,1,6-11.9 months,Sagittarius
72,Never married,16,Lt $1000,Excellent,No,1,6-11.9 months,Aries
40,Never married,12,$20000 - 24999,Excellent,No,3,2,Gemini
40,Married,17,$25000 or more,Excellent,No,1,7,Scorpio
64,Never married,20,$25000 or more,Excellent,No,0,4,Taurus
33,Married,17,$25000 or more,Good,No,1,6-11.9 months,Taurus
40,Divorced,12,$25000 or more,Excellent,Yes,1,26,Capricorn
60,Divorced,14,$25000 or more,Fair,No,3,40,Cancer
37,Married,15,$15000 - 19999,Good,Yes,2,2,Capricorn
6,Married,16,$25000 or more,Good,Yes,3,15,Scorpio
45,Never married,16,$25000 or more,Excellent,No,0,23,Scorpio
40,Married,10,$10000 - 14999,Good,No,1,Less than 6 months,Sagittarius
16,Married,12,Lt $1000,Good,No,4,6-11.9 months,Pisces
52,Married,16,$25000 or more,Good,Yes,3,25,Aries
15,Married,13,$4000 to 4999,Good,No,3,6,Gemini
20,Never married,13,$8000 to 9999,Good,No,1,2,Libra
30,Never married,17,$1000 to 2999,Fair,No,0,6-11.9 months,Libra
40,Divorced,16,$25000 or more,Excellent,No,2,2,Aries
45,Never married,13,$25000 or more,Good,No,5,3,Scorpio
40,Never married,12,$8000 to 9999,Fair,No,0,3,Cancer
25,Divorced,12,$25000 or more,Fair,No,2,5,Taurus
42,Married,16,$25000 or more,Good,Yes,3,8,Libra
35,Divorced,20,$25000 or more,Excellent,No,5,19,Libra
40,Divorced,16,$25000 or more,Excellent,No,3,6-11.9 months,Cancer
40,Never married,12,$25000 or more,Fair,Yes,5,5,Cancer
51,Never married,14,$25000 or more,Good,No,2,3,Cancer
50,Never married,9,$25000 or more,Fair,No,2,6,Aries
35,Never married,20,$25000 or more,Poor,No,2,9,Scorpio
40,Never married,12,$10000 - 14999,Excellent,Yes,4,5,Virgo
40,Married,14,$20000 - 24999,Excellent,No,2,9,Sagittarius
38,Married,12,Lt $1000,Fair,No,0,6-11.9 months,Aquarius
40,Never married,12,$25000 or more,Good,No,3,23,Virgo
45,Married,17,$25000 or more,Good,No,3,45,Scorpio
27,Married,14,$1000 to 2999,Good,No,2,6-11.9 months,Gemini
40,Divorced,16,$25000 or more,Good,No,4,17,Sagittarius
30,Separated,11,Lt $1000,Fair,No,1,Less than 6 months,Sagittarius
38,Never married,12,$25000 or more,Excellent,No,7,Less than 6 months,Pisces
40,Separated,13,$25000 or more,Excellent,No,0,7,Sagittarius
32,Never married,10,$4000 to 4999,Fair,No,2,23,Aries
39,Married,14,$25000 or more,Good,No,1,5,Leo
8,Never married,15,$1000 to 2999,Excellent,Yes,0,Less than 6 months,Scorpio
40,Never married,12,$20000 - 24999,Good,No,0,6,Aquarius
44,Married,18,$25000 or more,Fair,No,1,6,Pisces
40,Married,9,$15000 - 19999,Fair,No,2,3,Leo
40,Divorced,14,$25000 or more,Good,No,2,5,Cancer
40,Never married,16,$25000 or more,Good,Refused,3,3,Pisces
40,Married,16,$25000 or more,Excellent,No,2,6-11.9 months,Pisces
50,Never married,15,$10000 - 14999,Fair,No,2,3,Aquarius
32,Divorced,17,$25000 or more,Good,No,4,28,Virgo
48,Married,13,$25000 or more,Good,Yes,3,5,Virgo
55,Married,16,$25000 or more,Excellent,No,2,8,Virgo
40,Married,13,$25000 or more,Excellent,No,0,4,Gemini
50,Married,14,$25000 or more,Good,Yes,2,16,Gemini
58,Divorced,14,$25000 or more,Good,No,2,3,Scorpio
40,Divorced,17,$25000 or more,Good,Yes,4,8,Taurus
50,Married,16,$25000 or more,Excellent,No,2,29,Virgo
32,Married,16,$25000 or more,Excellent,Yes,1,30,Gemini
40,Married,18,$25000 or more,Good,Yes,2,25,Sagittarius
30,Never married,12,$8000 to 9999,Fair,No,1,2,Virgo
10,Married,16,$15000 - 19999,Excellent,No,1,4,Taurus
48,Married,18,$25000 or more,Good,No,3,Less than 6 months,Taurus
40,Separated,11,$20000 - 24999,Good,No,2,20,Virgo
40,Divorced,13,$20000 - 24999,Fair,No,4,24,Scorpio
18,Married,13,$15000 - 19999,Excellent,Yes,3,3,Libra
70,Divorced,14,$25000 or more,Good,Yes,3,18,Scorpio
41,Married,12,$20000 - 24999,Good,Yes,3,3,Cancer
40,Married,13,$25000 or more,Good,Yes,2,10,Capricorn
60,Separated,12,$25000 or more,Good,Yes,1,5,Leo
40,Married,12,$25000 or more,Good,Yes,2,16,Cancer
40,Married,16,$25000 or more,Excellent,No,2,2,Sagittarius
42,Never married,17,$25000 or more,Good,No,4,3,Gemini
64,Never married,12,$25000 or more,Good,No,3,10,Leo
64,Married,12,$15000 - 19999,Good,Yes,1,3,Taurus
28,Married,11,$20000 - 24999,Fair,Yes,4,6-11.9 months,Aquarius
37,Divorced,16,$25000 or more,Good,No,0,6-11.9 months,Taurus
50,Married,16,$25000 or more,Good,No,3,7,Taurus
44,Married,10,$25000 or more,Fair,Yes,2,6-11.9 months,Leo
22,Never married,14,$5000 to 5999,Good,No,4,2,Capricorn
40,Married,12,$25000 or more,Good,Yes,2,11,Scorpio
89,Married,14,$20000 - 24999,Fair,No,2,6-11.9 months,Pisces
40,Never married,20,$15000 - 19999,Good,No,4,2,Gemini
60,Divorced,19,$25000 or more,Excellent,No,0,3,Gemini
38,Never married,15,$7000 to 7999,Good,No,2,7,Leo
50,Never married,16,$25000 or more,Excellent,Yes,2,7,Aries
50,Married,20,$25000 or more,Good,No,1,10,Taurus
40,Never married,13,$10000 - 14999,Good,Refused,3,6-11.9 months,Libra
55,Never married,16,$25000 or more,Good,No,2,1,Leo
50,Never married,15,$3000 to 3999,Excellent,No,0,Less than 6 months,Capricorn
40,Divorced,12,$20000 - 24999,Good,Yes,5,18,Leo
50,Never married,16,$25000 or more,Good,No,2,9,Capricorn
45,Never married,14,$25000 or more,Excellent,Yes,1,2,Leo
30,Married,11,$10000 - 14999,Excellent,No,6,13,Libra
40,Married,17,$25000 or more,Good,No,1,Less than 6 months,Aquarius
30,Never married,11,$25000 or more,Excellent,No,4,2,Cancer
40,Never married,13,$25000 or more,Excellent,No,2,8,Pisces
26,Widowed,20,$25000 or more,Excellent,Yes,2,11,Aquarius
32,Divorced,13,$10000 - 14999,Good,No,5,6-11.9 months,Sagittarius
40,Married,6,$10000 - 14999,Good,No,1,7,Taurus
