Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
40,Married,12,19425,Excellent,No,2,7,Libra
25,Married,13,28490,Excellent,No,5,4,Gemini
40,Never married,16,34965,Good,No,3,3,Gemini
60,Widowed,15,72520,Excellent,No,3,6,Taurus
40,Married,16,42735,Good,No,2,15,Gemini
24,Never married,13,11008,Fair,No,2,3,Virgo
40,Never married,16,16835,Good,No,2,2,Scorpio
50,Divorced,14,23310,Good,No,2,7,Sagittarius
50,Divorced,16,16835,Excellent,No,1,2,Leo
68,Married,12,62160,Good,Yes,3,6,Pisces
40,Never married,18,51800,Excellent,No,1,12,Virgo
52,Never married,16,51800,Good,No,4,20,Aries
40,Married,12,28490,Good,No,3,20,Libra
41,Married,16,16835,Fair,No,2,2,Virgo
38,Married,16,23310,Good,No,2,15,Aquarius
50,Never married,13,34965,Fair,No,3,12,Scorpio
7,Separated,20,3367,Excellent,No,3,3,Libra
60,Married,16,72520,Excellent,No,3,30,Cancer
40,Married,18,62160,Excellent,No,0,20,Libra
12,Married,12,1813,Good,No,2,3,Gemini
24,Married,12,259,Excellent,Yes,1,6-11.9 months,Cancer
45,Married,16,109525,Good,No,0,3,Taurus
25,Married,20,34965,Fair,No,2,3,Aries
62,Married,13,34965,Good,No,2,6-11.9 months,Libra
40,Married,6,23310,Good,No,2,17,Capricorn
47,Never married,16,28490,Fair,No,3,4,Pisces
50,Married,17,34965,Good,No,1,6-11.9 months,Sagittarius
45,Never married,19,34965,Good,No,1,6-11.9 months,Sagittarius
72,Never married,16,259,Excellent,No,1,6-11.9 months,Aries
40,Never married,12,12303,Excellent,No,3,2,Gemini
40,Married,17,28490,Excellent,No,1,7,Scorpio
64,Never married,20,109525,Excellent,No,0,4,Taurus
33,Married,17,14245,Good,No,1,6-11.9 months,Taurus
40,Divorced,12,42735,Excellent,Yes,1,26,Capricorn
60,Divorced,14,109525,Fair,No,3,40,Cancer
37,Married,15,9713,Good,Yes,2,2,Capricorn
6,Married,16,72520,Good,Yes,3,15,Scorpio
45,Never married,16,14245,Excellent,No,0,23,Scorpio
40,Married,10,5828,Good,No,1,Less than 6 months,Sagittarius
16,Married,12,259,Good,No,4,6-11.9 months,Pisces
52,Married,16,62160,Good,Yes,3,25,Aries
15,Married,13,2331,Good,No,3,6,Gemini
20,Never married,13,4662,Good,No,1,2,Libra
30,Never married,17,1036,Fair,No,0,6-11.9 months,Libra
40,Divorced,16,51800,Excellent,No,2,2,Aries
45,Never married,13,14245,Good,No,5,3,Scorpio
40,Never married,12,4662,Fair,No,0,3,Cancer
25,Divorced,12,34965,Fair,No,2,5,Taurus
42,Married,16,28490,Good,Yes,3,8,Libra
35,Divorced,20,34965,Excellent,No,5,19,Libra
40,Divorced,16,19425,Excellent,No,3,6-11.9 months,Cancer
40,Never married,12,28490,Fair,Yes,5,5,Cancer
51,Never married,14,28490,Good,No,2,3,Cancer
50,Never married,9,16835,Fair,No,2,6,Aries
35,Never married,20,34965,Poor,No,2,9,Scorpio
40,Never married,12,5828,Excellent,Yes,4,5,Virgo
40,Married,14,12303,Excellent,No,2,9,Sagittarius
38,Married,12,259,Fair,No,0,6-11.9 months,Aquarius
40,Never married,12,19425,Good,No,3,23,Virgo
45,Married,17,62160,Good,No,3,45,Scorpio
27,Married,14,1036,Good,No,2,6-11.9 months,Gemini
40,Divorced,16,16835,Good,No,4,17,Sagittarius
30,Separated,11,259,Fair,No,1,Less than 6 months,Sagittarius
38,Never married,12,16835,Excellent,No,7,Less than 6 months,Pisces
40,Separated,13,34965,Excellent,No,0,7,Sagittarius
32,Never married,10,2331,Fair,No,2,23,Aries
39,Married,14,16835,Good,No,1,5,Leo
8,Never married,15,1036,Excellent,Yes,0,Less than 6 months,Scorpio
40,Never married,12,12303,Good,No,0,6,Aquarius
44,Married,18,23310,Fair,No,1,6,Pisces
40,Married,9,8418,Fair,No,2,3,Leo
40,Divorced,14,14245,Good,No,2,5,Cancer
40,Never married,16,16835,Good,Refused,3,3,Pisces
40,Married,16,34965,Excellent,No,2,6-11.9 months,Pisces
50,Never married,15,5828,Fair,No,2,3,Aquarius
32,Divorced,17,28490,Good,No,4,28,Virgo
48,Married,13,16835,Good,Yes,3,5,Virgo
55,Married,16,42735,Excellent,No,2,8,Virgo
40,Married,13,19425,Excellent,No,0,4,Gemini
50,Married,14,51800,Good,Yes,2,16,Gemini
58,Divorced,14,72520,Good,No,2,3,Scorpio
40,Divorced,17,34965,Good,Yes,4,8,Taurus
50,Married,16,62160,Excellent,No,2,29,Virgo
32,Married,16,19425,Excellent,Yes,1,30,Gemini
