"id","resortId","runLength","angle","maxAngle","difficulty","aspect"
7075,76,10456.4,-16,-89.591308687957,"S","ENE"
7101,76,14893.7,-10,-89.420660844036,"S","NNE"
7233,76,10403.3,-31,-89.230885251206,"D","E"
7250,76,8883.3,-38,-88.950586935017,"D","ESE"
7303,76,13854.8,-17,-88.52198459175,"DD","NE"
6838,18,2439.1,-10,-71.834244088571,"S","W"
7142,76,2439.1,-10,-71.834244088571,"S","W"
2191,16,1916.1,-32,-60.162810590575,"DD","ENE"
2164,16,2268.1,-9,-56.724532745206,"D","ESE"
2200,16,781.0,-42,-53.75263011146,"DD","ENE"
2199,16,915.4,-28,-53.168353294384,"DD","ENE"
2202,16,742.9,-41,-53.10055354641,"DD","NE"
277,44,822.6,-21,-52.429290613076,"D","N"
2201,16,742.4,-43,-52.315580637547,"DD","ENE"
3781,42,325.0,-45,-50.553835784256,"D","NNW"
4877,83,2077.3,-13,-50.473486851514,"S","NNE"
5408,93,2227.6,-9,-50.32805987667,"D","E"
2198,16,894.4,-38,-50.043480080461,"DD","ENE"
4256,77,741.5,-38,-50.017455890285,"DD","N"
7270,76,933.8,-32,-49.92544772293,"D","NNW"
3022,73,933.8,-32,-49.92544772293,"D","NNW"
4289,77,569.7,-41,-49.882036057237,"D","ENE"
4290,77,453.4,-48,-49.82892001357,"D","E"
407,53,967.6,-42,-49.026842088568,"DD","N"
5019,83,1148.9,-26,-49.01559543711,"DD","NE"
6392,12,914.1,-32,-48.813392921629,"D","SE"
6428,14,2869.0,-10,-48.731766787783,"C","W"
406,53,689.8,-43,-48.301679720822,"DD","N"
2197,16,938.4,-37,-48.061647452488,"DD","ENE"
5689,52,1576.0,-20,-47.257958968013,"D","NNE"
4806,83,2586.9,-8,-46.761800535807,"S","NW"
5402,93,2980.4,-16,-46.645198650168,"D","ENE"
5469,91,1444.5,-36,-46.290165988163,"DD","ESE"
2196,16,1049.3,-22,-45.794299895876,"DD","ESE"
5648,52,734.7,-14,-45.476009413228,"S","SSE"
2084,41,1267.6,-35,-45.286305517134,"DD","NE"
2192,16,689.0,-27,-45.091952989351,"DD","SE"
7242,76,1544.8,-24,-44.911543029568,"D","N"
2981,73,1544.8,-24,-44.911543029568,"D","N"
814,36,1720.7,-17,-44.762815140629,"DD","NNE"
7299,76,1720.7,-17,-44.762815140629,"DD","NNE"
1862,36,972.2,-29,-44.398181248461,"D","NE"
4274,77,662.3,-37,-44.137988548231,"DD","NNW"
3072,73,1789.0,-34,-43.961309270228,"DD","W"
7310,76,1789.0,-34,-43.961309270228,"DD","W"
807,65,1279.3,-27,-43.783851966859,"DD","NE"
7291,76,1279.3,-27,-43.783851966859,"DD","NE"
6157,66,2222.2,-9,-43.72435206723,"S","ESE"
5012,83,1459.6,-21,-43.465198925676,"DD","NE"
2077,41,1149.2,-37,-43.394420716449,"DD","ENE"
4251,77,755.5,-28,-43.280239206462,"DD","N"
5138,59,5128.7,-1,-43.246489481333,"S","N"
3786,42,367.6,-35,-43.229394256715,"D","E"
3078,73,1818.1,-33,-43.158356152903,"DD","W"
7312,76,1818.1,-33,-43.158356152903,"DD","W"
5820,47,2951.8,-22,-43.154631821127,"DD","ESE"
7288,76,1731.6,-20,-43.004432639252,"DD","NNE"
207,12,4288.9,-22,-42.901228203998,"DD","NE"
6619,14,1940.2,-21,-42.819483693698,"DD","ENE"
4220,77,655.7,-31,-42.805753146879,"D","NW"
5444,91,4523.6,-20,-42.74546738677,"D","SE"
2159,16,1250.1,-31,-42.612162413451,"D","ESE"
2068,41,728.9,-28,-42.434112480853,"DD","ENE"
4572,78,4266.1,-22,-42.376430315515,"D","WSW"
6845,18,2629.3,-7,-42.361247783207,"S","S"
7149,76,2629.3,-7,-42.361247783207,"S","S"
6093,60,1943.7,-18,-42.294864952032,"D","E"
198,12,2142.3,-26,-42.271085197729,"D","ESE"
2181,16,1127.4,-24,-42.219193920724,"D","NE"
5189,92,826.1,-13,-42.192464387043,"S","NNE"
403,53,732.7,-36,-42.186349951666,"DD","N"
5024,83,1037.7,-26,-42.061419111058,"DD","ENE"
4253,77,903.0,-33,-42.052865445115,"DD","N"
5773,47,676.8,-22,-42.013793479693,"D","NNE"
5472,91,1539.2,-23,-41.88273866374,"D","N"
4281,77,653.8,-42,-41.82575932941,"D","NNE"
3945,62,4510.8,-21,-41.811939413973,"D","N"
2182,16,1648.3,-20,-41.810514652733,"D","ENE"
3763,42,296.7,-38,-41.805300394559,"DD","NW"
404,53,524.8,-41,-41.771806685053,"DD","N"
5401,93,1373.3,-22,-41.655595665212,"D","ENE"
5471,91,1662.3,-28,-41.615943993628,"DD","SE"
5470,91,878.8,-33,-41.597981514134,"DD","ESE"
7287,76,1967.4,-22,-41.494867583841,"DD","NE"
712,65,1286.6,-26,-41.381439708235,"D","ENE"
3743,42,1615.9,-25,-41.352679991579,"D","WNW"
2160,16,1296.8,-32,-41.21765437048,"D","ESE"
2568,48,1328.8,-28,-41.099020955756,"DD","ENE"
7226,76,2150.3,-15,-40.998889779156,"D","NW"
2963,73,2150.3,-15,-40.998889779156,"D","NW"
2180,16,1740.0,-19,-40.94625032967,"D","NE"
5343,91,496.8,-13,-40.925697892773,"S","ESE"
2194,16,2353.8,-30,-40.908648181124,"DD","SE"
1532,46,1249.9,-23,-40.856141457516,"D","NNW"
3839,61,824.2,-26,-40.83444996963,"DD","WNW"
398,53,628.7,-37,-40.7094275831,"D","N"
3734,42,309.7,-28,-40.582142354726,"D","ENE"
5467,91,2239.9,-31,-40.564236759783,"DD","E"
394,53,1063.3,-32,-40.535888386711,"D","N"
6996,18,2143.1,-23,-40.491928175453,"DD","NNE"
7300,76,2143.1,-23,-40.491928175453,"DD","NNE"
2083,41,614.7,-36,-40.478730575172,"DD","N"
805,65,2751.1,-13,-40.475208708962,"DD","NNE"
7289,76,2751.1,-13,-40.475208708962,"DD","NNE"
4144,77,2041.6,-27,-40.366304283338,"D","NW"
2085,41,1000.1,-32,-40.356726001226,"DD","NE"
5607,52,739.7,-9,-40.147580568017,"S","SSE"
2157,16,2447.0,-21,-39.999525549386,"D","ESE"
5473,91,3137.1,-25,-39.924550714694,"D","WSW"
5482,47,14339.7,-8,-39.865228723154,"C","NNE"
5468,91,1720.2,-31,-39.788770874147,"DD","ESE"
6534,14,1470.2,-17,-39.616101546818,"D","N"
2165,16,2046.6,-29,-39.589968282172,"D","SE"
2141,16,2485.2,-20,-39.489055003868,"D","NNE"
5514,47,18872.2,-8,-39.486075850678,"C","ENE"
3728,42,401.4,-35,-39.391529621102,"D","NE"
7309,76,2391.0,-30,-39.3164381332,"DD","NW"
3071,73,2391.0,-30,-39.3164381332,"DD","NW"
5197,89,2471.9,-18,-39.307336475061,"S","NE"
6543,14,851.8,-25,-39.30261142119,"D","N"
7040,76,4540.4,-7,-39.275841299521,"C","NNE"
2695,73,4540.4,-7,-39.275841299521,"C","NNE"
832,65,6258.0,-15,-39.220603608159,"DD","ENE"
2155,16,1809.8,-24,-39.178945697488,"D","NNE"
205,12,3785.0,-28,-39.152216852322,"DD","ESE"
553,65,2022.8,-17,-39.070781832127,"S","NW"
7122,76,2022.8,-17,-39.070781832127,"S","NW"
827,65,1501.4,-27,-39.01209345212,"DD","SSE"
829,65,1430.0,-28,-38.976000610864,"DD","S"
828,65,1180.8,-27,-38.938814210337,"DD","S"
5746,52,2720.5,-21,-38.898486855266,"DD","ESE"
600,65,3646.1,-15,-38.893208761096,"S","NW"
7141,76,3646.1,-15,-38.893208761096,"S","NW"
5013,83,1117.7,-24,-38.871943367228,"DD","E"
201,12,955.0,-29,-38.857636986845,"D","SE"
6528,14,2420.4,-21,-38.80546386984,"D","SE"
7243,76,858.6,-25,-38.73275250802,"D","NNW"
2983,73,858.6,-25,-38.73275250802,"D","NNW"
5221,59,1618.8,-29,-38.691169100636,"DD","NNE"
811,65,1822.9,-16,-38.660466611529,"DD","E"
7295,76,1822.9,-16,-38.660466611529,"DD","E"
5217,59,1749.7,-28,-38.659095646597,"D","NNE"
556,65,6439.8,-6,-38.576545809209,"S","E"
7125,76,6439.8,-6,-38.576545809209,"S","E"
5252,92,2612.5,-12,-38.572217714793,"D","NW"
5017,83,1256.8,-28,-38.571556037004,"DD","NE"
3737,42,830.9,-35,-38.535817237426,"D","ENE"
1535,46,1327.1,-27,-38.474114900336,"DD","N"
7036,76,2959.1,-6,-38.24341308957,"C","NNW"
443,65,2959.1,-6,-38.24341308957,"C","NNW"
6533,14,1018.6,-19,-38.168338969474,"D","N"
710,65,1212.3,-26,-38.131592345699,"D","NNE"
5778,47,754.7,-13,-38.108306582287,"D","ESE"
6113,66,10004.3,-7,-37.98105529751,"C","E"
4116,77,964.5,-28,-37.968034802599,"D","W"
2189,16,2876.0,-24,-37.903255407629,"DD","ENE"
4336,34,752.3,-17,-37.900284291839,"D","ENE"
2075,41,1433.5,-29,-37.855019572281,"DD","NE"
536,65,2983.4,-12,-37.832158514175,"S","ENE"
7105,76,2983.4,-12,-37.832158514175,"S","ENE"
3744,42,867.8,-22,-37.826886805438,"D","N"
2066,41,639.0,-34,-37.76993549989,"DD","N"
5405,93,1601.8,-21,-37.759434426627,"D","ENE"
4886,83,2617.9,-19,-37.693539962641,"D","NNE"
1928,36,2123.9,-26,-37.673692042205,"DD","E"
6756,18,6586.0,-14,-37.666938912301,"S","NNE"
7060,76,6586.0,-14,-37.666938912301,"S","NNE"
2062,41,1074.5,-32,-37.607021657376,"DD","NNE"
4324,34,1293.2,-17,-37.582708919535,"D","SSE"
843,65,2171.6,-22,-37.576724903916,"DD","NNE"
7319,76,2171.6,-22,-37.576724903916,"DD","NNE"
3766,42,624.4,-35,-37.570710605728,"DD","WSW"
3838,61,1133.3,-35,-37.517386970087,"DD","WNW"
196,12,3150.9,-21,-37.507509821578,"D","NE"
5200,59,6162.9,0,-37.493381240724,"D","N"
4919,83,549.0,-28,-37.480501035234,"D","N"
2169,16,3015.0,-19,-37.43170041578,"D","S"
2070,41,844.3,-27,-37.362890867303,"DD","NNE"
5664,52,535.6,-28,-37.33012729023,"D","NNE"
4768,67,1485.0,-20,-37.304264659599,"DD","NW"
4993,83,1552.2,-24,-37.277874450427,"DD","NNE"
572,65,1919.6,-17,-37.213016932942,"S","NNW"
1927,36,1048.1,-26,-37.211036877608,"DD","ENE"
5603,52,5250.9,-10,-37.201048393865,"S","E"
3650,20,2777.4,-20,-37.162463301459,"D","N"
713,65,1831.5,-25,-37.155609972782,"D","N"
3778,42,657.1,-26,-37.137423757989,"DD","N"
5462,91,1653.9,-22,-37.126597737993,"D","ENE"
